Playing History Audit 'gaiggibeliin' from 2019/01/01 12:00 AM to 2019/01/30 11:59 PM,,,,,,,,,,,,
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money2,W Money3
6.1.2019 20:52,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-12.16,0,0,0,"8,696.13","3,032.97",0,0
6.1.2019 20:52,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,695.13","3,032.97",0,0
6.1.2019 20:55,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-4.18,0,0,0,"8,690.95","3,032.97",0,0
6.1.2019 21:03,Tournament Won,2479738175<b><font color=-x-tourn-championship>Winter Series 57 - Medium: $55 NLHE </font> <font color=-x-tourn-guarantee>$200K Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,95.65,0,0,0,"8,786.60","3,032.97",0,0
6.1.2019 21:37,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,586.60","3,032.97",0,0
6.1.2019 21:42,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2.45,0,0,0,"8,584.15","3,032.97",0,0
6.1.2019 21:43,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7.79,0,0,0,"8,576.36","3,032.97",0,0
6.1.2019 21:44,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-10.05,0,0,0,"8,566.31","3,032.97",0,0
6.1.2019 21:44,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,564.31","3,032.97",0,0
6.1.2019 21:45,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-46.36,0,0,0,"8,517.95","3,032.97",0,0
6.1.2019 21:45,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,516.95","3,032.97",0,0
6.1.2019 21:46,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-34.96,0,0,0,"8,481.99","3,032.97",0,0
6.1.2019 21:46,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,480.99","3,032.97",0,0
6.1.2019 21:47,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,479.99","3,032.97",0,0
6.1.2019 21:48,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,472.99","3,032.97",0,0
6.1.2019 21:50,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2.77,0,0,0,"8,470.22","3,032.97",0,0
6.1.2019 21:51,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,463.22","3,032.97",0,0
6.1.2019 21:51,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,461.22","3,032.97",0,0
